Annee_de_linscription;GENRE;Cursus LMD;Regime d'inscription;Domaine de formation;Type de bac obtenu;Nombre d'étudiants;Nombre de nouveaux bacheliers
2021/2022;Femme;cursus L;initiale;Arts, Lettres et Langues;Bac général;1917.0;541.0
2021/2022;Femme;cursus M;continue;;Bac général;30.0;
2021/2022;Femme;cursus L;initiale;Sciences Humaines et Sociales;Bac général;2.0;
2021/2022;Femme;cursus D;initiale;Domaine inconnu;Bac général;37.0;
2021/2022;Femme;cursus L;initiale;Sciences, Technologies, Santé;Bac pro;5.0;3.0
2021/2022;Femme;cursus D;initiale;Domaine inconnu;Equivalence;59.0;
2021/2022;Femme;cursus L;initiale;Multi-domaine;Bac général;25.0;10.0
2021/2022;Femme;cursus D;initiale;Sciences Humaines et Sociales;Bac général;4.0;
2021/2022;Femme;cursus L;initiale;Multi-domaine;Bac étranger;2.0;1.0
2021/2022;Homme;cursus L;initiale;Arts, Lettres et Langues;Bac général;2014.0;585.0
2021/2022;Femme;cursus L;initiale;;Bac étranger;20.0;
2021/2022;Homme;cursus L;initiale;Arts, Lettres et Langues;Bac étranger;315.0;44.0
2021/2022;Femme;cursus L;apprentis;Sciences, Technologies, Santé;Bac techno;29.0;10.0
2021/2022;Homme;cursus L;initiale;Sciences Humaines et Sociales;Bac général;6.0;
2021/2022;Femme;cursus L;apprentis;Sciences, Technologies, Santé;Bac pro;3.0;2.0
2021/2022;Homme;cursus L;initiale;Sciences, Technologies, Santé;Bac général;318.0;129.0
2021/2022;Femme;cursus L;apprentis;Sciences, Technologies, Santé;Bac étranger;1.0;
2021/2022;Homme;cursus L;initiale;Sciences, Technologies, Santé;Bac techno;205.0;102.0
2021/2022;Femme;cursus L;apprentis;;Bac général;163.0;
2021/2022;Homme;cursus L;initiale;Multi-domaine;Bac général;47.0;17.0
2021/2022;Femme;cursus L;apprentis;;Bac pro;59.0;
2021/2022;Homme;cursus L;initiale;Multi-domaine;Bac techno;1.0;
2021/2022;Femme;cursus L;apprentis;;Equivalence;3.0;
2021/2022;Homme;cursus L;initiale;Multi-domaine;Bac étranger;3.0;
2021/2022;Femme;cursus L;apprentis;;;2.0;
2021/2022;Homme;cursus L;initiale;;Bac étranger;24.0;
2021/2022;Femme;cursus L;continue;Arts, Lettres et Langues;Bac techno;4.0;
2021/2022;Homme;cursus L;apprentis;Arts, Lettres et Langues;Bac techno;29.0;
2021/2022;Femme;cursus L;continue;Sciences, Technologies, Santé;Bac pro;2.0;
2021/2022;Homme;cursus L;apprentis;Arts, Lettres et Langues;Bac étranger;5.0;
2021/2022;Femme;cursus L;continue;Sciences, Technologies, Santé;Bac étranger;2.0;
2021/2022;Homme;cursus L;apprentis;Sciences, Technologies, Santé;Bac pro;9.0;2.0
2021/2022;Femme;cursus L;continue;;Bac étranger;9.0;
2021/2022;Homme;cursus L;apprentis;;Bac pro;45.0;
2021/2022;Femme;cursus L;continue;;Sans bac;26.0;
2021/2022;Homme;cursus L;apprentis;;Bac étranger;6.0;
2021/2022;Femme;cursus M;initiale;Sciences Humaines et Sociales;Bac général;65.0;
2021/2022;Homme;cursus L;continue;Arts, Lettres et Langues;Bac général;9.0;
2021/2022;Femme;cursus M;initiale;Sciences Humaines et Sociales;Bac techno;8.0;
2021/2022;Homme;cursus L;continue;Arts, Lettres et Langues;Bac pro;1.0;
2021/2022;Femme;cursus M;initiale;Multi-domaine;Bac pro;15.0;
2021/2022;Homme;cursus L;continue;Arts, Lettres et Langues;Equivalence;1.0;
2021/2022;Femme;cursus M;initiale;Multi-domaine;;1.0;
2021/2022;Homme;cursus L;continue;Sciences, Technologies, Santé;Bac techno;3.0;
2021/2022;Femme;cursus M;apprentis;Multi-domaine;Bac général;204.0;
2021/2022;Homme;cursus L;continue;;Bac général;37.0;1.0
2021/2022;Femme;cursus M;apprentis;Multi-domaine;Bac étranger;42.0;
2021/2022;Homme;cursus L;continue;;Bac techno;21.0;
2021/2022;Femme;cursus M;continue;;Bac étranger;1.0;
2021/2022;Homme;cursus L;continue;;Bac pro;12.0;
2021/2022;Femme;cursus D;initiale;Domaine inconnu;Bac étranger;15.0;
2021/2022;Homme;cursus L;continue;;Bac étranger;10.0;
2021/2022;Homme;cursus L;initiale;Arts, Lettres et Langues;Bac pro;113.0;39.0
2021/2022;Homme;cursus L;continue;;Sans bac;9.0;
2021/2022;Homme;cursus L;initiale;Arts, Lettres et Langues;Equivalence;9.0;
2021/2022;Homme;cursus M;initiale;Sciences Humaines et Sociales;Bac techno;6.0;
2021/2022;Homme;cursus L;initiale;;Bac général;84.0;26.0
2021/2022;Homme;cursus M;initiale;Sciences Humaines et Sociales;Bac étranger;21.0;
2021/2022;Homme;cursus L;apprentis;Arts, Lettres et Langues;Bac pro;2.0;
2021/2022;Homme;cursus M;initiale;Sciences Humaines et Sociales;Equivalence;2.0;
2021/2022;Homme;cursus L;apprentis;Sciences, Technologies, Santé;Bac étranger;2.0;
2021/2022;Homme;cursus M;initiale;Multi-domaine;Bac techno;69.0;
2021/2022;Homme;cursus L;apprentis;;Bac général;141.0;
2021/2022;Homme;cursus M;initiale;Multi-domaine;Bac pro;14.0;
2021/2022;Homme;cursus L;continue;Arts, Lettres et Langues;Bac techno;5.0;
2021/2022;Homme;cursus M;initiale;Multi-domaine;Equivalence;2.0;
2021/2022;Homme;cursus L;continue;Sciences, Technologies, Santé;Bac étranger;5.0;
2021/2022;Homme;cursus M;initiale;;Bac techno;1.0;
2021/2022;Homme;cursus L;continue;Sciences, Technologies, Santé;Equivalence;4.0;1.0
2021/2022;Homme;cursus M;apprentis;Multi-domaine;Bac général;163.0;
2021/2022;Homme;cursus L;continue;;Equivalence;24.0;1.0
2021/2022;Homme;cursus M;continue;Sciences, Technologies, Santé;Bac général;8.0;
2021/2022;Homme;cursus M;initiale;Sciences Humaines et Sociales;Bac pro;1.0;
2021/2022;Homme;cursus M;continue;;Bac étranger;3.0;
2021/2022;Homme;cursus M;initiale;Multi-domaine;Bac général;470.0;
2021/2022;Homme;cursus D;initiale;Domaine inconnu;Bac étranger;44.0;
2021/2022;Homme;cursus M;initiale;;Bac général;14.0;
2021/2022;Homme;cursus D;initiale;Sciences Humaines et Sociales;Bac général;2.0;
2021/2022;Homme;cursus M;apprentis;Multi-domaine;Bac pro;7.0;
2022/2023;Femme;cursus L;initiale;Arts, Lettres et Langues;Bac techno;304.0;120.0
2021/2022;Homme;cursus M;apprentis;Multi-domaine;Bac étranger;62.0;
2022/2023;Femme;cursus L;initiale;Arts, Lettres et Langues;Bac pro;99.0;29.0
2021/2022;Homme;cursus M;continue;Sciences, Technologies, Santé;Bac techno;1.0;
2022/2023;Femme;cursus L;initiale;Arts, Lettres et Langues;Bac étranger;329.0;53.0
2021/2022;Homme;cursus M;continue;Multi-domaine;Bac techno;1.0;
2022/2023;Femme;cursus L;initiale;Sciences, Technologies, Santé;Bac général;152.0;73.0
2021/2022;Homme;cursus M;continue;Multi-domaine;Bac étranger;3.0;
2022/2023;Femme;cursus L;initiale;Sciences, Technologies, Santé;Bac pro;6.0;4.0
2021/2022;Homme;cursus M;continue;Multi-domaine;Equivalence;1.0;
2022/2023;Femme;cursus L;initiale;Multi-domaine;Bac général;37.0;11.0
2021/2022;Homme;cursus D;initiale;Domaine inconnu;Bac techno;1.0;
2022/2023;Femme;cursus L;initiale;;Bac pro;15.0;10.0
2021/2022;Homme;cursus D;initiale;Droit, Economie, Gestion;Bac général;1.0;
2022/2023;Femme;cursus L;apprentis;Arts, Lettres et Langues;Bac techno;10.0;
2022/2023;Femme;cursus L;initiale;Sciences, Technologies, Santé;Bac étranger;11.0;4.0
2022/2023;Femme;cursus L;apprentis;Sciences, Technologies, Santé;Bac général;98.0;19.0
2022/2023;Femme;cursus L;initiale;Multi-domaine;Bac étranger;2.0;
2022/2023;Femme;cursus L;apprentis;Sciences, Technologies, Santé;Equivalence;1.0;1.0
2022/2023;Femme;cursus L;initiale;Hors domaine;Bac étranger;1.0;
2022/2023;Femme;cursus L;apprentis;;Bac étranger;12.0;
2022/2023;Femme;cursus L;initiale;;Bac général;23.0;8.0
2022/2023;Femme;cursus L;apprentis;;;1.0;
2022/2023;Femme;cursus L;initiale;;Bac techno;36.0;22.0
2022/2023;Femme;cursus L;continue;;Bac pro;4.0;
2022/2023;Femme;cursus L;initiale;;Bac étranger;3.0;1.0
2022/2023;Femme;cursus M;initiale;Sciences Humaines et Sociales;Equivalence;1.0;
2022/2023;Femme;cursus L;apprentis;Arts, Lettres et Langues;Bac général;58.0;
2022/2023;Femme;cursus M;initiale;Multi-domaine;Bac pro;10.0;
2022/2023;Femme;cursus L;apprentis;Sciences, Technologies, Santé;Bac techno;42.0;23.0
2022/2023;Femme;cursus M;initiale;Multi-domaine;Equivalence;8.0;
2022/2023;Femme;cursus L;apprentis;Sciences, Technologies, Santé;Bac pro;4.0;1.0
2022/2023;Femme;cursus M;apprentis;Multi-domaine;Bac général;233.0;
2022/2023;Femme;cursus L;apprentis;Sciences, Technologies, Santé;Bac étranger;4.0;
2022/2023;Femme;cursus M;apprentis;Multi-domaine;Bac techno;32.0;
2022/2023;Femme;cursus L;apprentis;;Bac général;172.0;
2022/2023;Femme;cursus M;continue;Multi-domaine;Bac général;11.0;
2022/2023;Femme;cursus L;apprentis;;Bac techno;116.0;
2022/2023;Femme;cursus D;initiale;Domaine inconnu;Bac techno;1.0;
2022/2023;Femme;cursus L;continue;Arts, Lettres et Langues;Bac général;2.0;
2022/2023;Femme;cursus D;initiale;Domaine inconnu;Equivalence;50.0;
2022/2023;Femme;cursus L;continue;Arts, Lettres et Langues;Bac étranger;2.0;
2022/2023;Homme;cursus L;initiale;Arts, Lettres et Langues;Bac pro;89.0;14.0
2022/2023;Femme;cursus L;continue;Arts, Lettres et Langues;Equivalence;1.0;
2022/2023;Homme;cursus L;initiale;Arts, Lettres et Langues;Bac étranger;317.0;59.0
2022/2023;Femme;cursus L;continue;;Bac général;17.0;
2022/2023;Homme;cursus L;initiale;Arts, Lettres et Langues;;2.0;
2022/2023;Femme;cursus L;continue;;Bac techno;8.0;
2022/2023;Homme;cursus L;initiale;Sciences, Technologies, Santé;Bac pro;13.0;7.0
2022/2023;Femme;cursus L;continue;;Sans bac;37.0;
2022/2023;Homme;cursus L;initiale;Sciences, Technologies, Santé;;1.0;1.0
2022/2023;Femme;cursus M;initiale;Sciences Humaines et Sociales;Bac techno;5.0;
2022/2023;Homme;cursus L;initiale;Multi-domaine;Bac général;50.0;17.0
2022/2023;Femme;cursus M;initiale;Multi-domaine;Bac techno;70.0;
2022/2023;Homme;cursus L;initiale;Multi-domaine;Bac étranger;4.0;
2022/2023;Femme;cursus M;apprentis;Multi-domaine;Bac étranger;62.0;
2022/2023;Homme;cursus L;initiale;Hors domaine;Bac étranger;1.0;
2022/2023;Femme;cursus M;continue;Multi-domaine;Bac pro;3.0;
2022/2023;Homme;cursus L;initiale;;Bac pro;19.0;8.0
2022/2023;Femme;cursus M;continue;;Bac général;27.0;
2022/2023;Homme;cursus L;initiale;;Bac étranger;2.0;
2022/2023;Femme;cursus M;continue;;Bac étranger;4.0;
2022/2023;Homme;cursus L;initiale;;Equivalence;4.0;
2022/2023;Femme;cursus D;initiale;Domaine inconnu;Bac général;19.0;
2022/2023;Homme;cursus L;apprentis;Arts, Lettres et Langues;Bac général;55.0;
2022/2023;Femme;cursus D;initiale;Domaine inconnu;Bac étranger;11.0;
2022/2023;Homme;cursus L;apprentis;Arts, Lettres et Langues;Bac étranger;6.0;
2022/2023;Homme;cursus L;initiale;Arts, Lettres et Langues;Bac général;1889.0;682.0
2022/2023;Homme;cursus L;apprentis;Sciences, Technologies, Santé;Bac général;139.0;27.0
2022/2023;Homme;cursus L;initiale;Arts, Lettres et Langues;Bac techno;262.0;88.0
2022/2023;Homme;cursus L;apprentis;;Bac pro;59.0;
2022/2023;Homme;cursus L;initiale;Sciences, Technologies, Santé;Bac général;264.0;118.0
2022/2023;Homme;cursus L;apprentis;;Bac étranger;9.0;
2022/2023;Homme;cursus L;initiale;Sciences, Technologies, Santé;Bac techno;209.0;117.0
2022/2023;Homme;cursus L;continue;;Bac général;31.0;3.0
2022/2023;Homme;cursus L;initiale;Multi-domaine;Bac techno;2.0;
2022/2023;Homme;cursus L;continue;;Bac techno;10.0;1.0
2022/2023;Homme;cursus L;apprentis;Arts, Lettres et Langues;Bac techno;19.0;
2022/2023;Homme;cursus L;continue;;Bac pro;5.0;
2022/2023;Homme;cursus L;apprentis;Arts, Lettres et Langues;Bac pro;3.0;
2022/2023;Homme;cursus L;continue;;Sans bac;12.0;
2022/2023;Homme;cursus L;apprentis;Sciences, Technologies, Santé;Bac techno;51.0;10.0
2022/2023;Homme;cursus M;initiale;Sciences Humaines et Sociales;Bac techno;2.0;
2022/2023;Homme;cursus L;continue;Arts, Lettres et Langues;Bac pro;1.0;
2022/2023;Homme;cursus M;initiale;Sciences Humaines et Sociales;Bac pro;1.0;
2022/2023;Homme;cursus L;continue;;Bac étranger;6.0;
2022/2023;Homme;cursus M;initiale;Sciences Humaines et Sociales;Equivalence;1.0;
2022/2023;Homme;cursus L;continue;;Equivalence;4.0;
2022/2023;Homme;cursus M;initiale;Multi-domaine;Bac étranger;346.0;
2022/2023;Homme;cursus M;initiale;Multi-domaine;Bac général;382.0;
2022/2023;Homme;cursus M;apprentis;Multi-domaine;Bac général;187.0;
2022/2023;Homme;cursus M;initiale;Multi-domaine;Bac techno;46.0;
2022/2023;Homme;cursus M;continue;Multi-domaine;Bac général;9.0;
2022/2023;Homme;cursus M;initiale;Multi-domaine;Equivalence;5.0;
2022/2023;Homme;cursus M;continue;Multi-domaine;Bac pro;2.0;
2022/2023;Homme;cursus M;apprentis;Multi-domaine;Bac techno;56.0;
2022/2023;Homme;cursus M;continue;Multi-domaine;Bac étranger;3.0;
2022/2023;Homme;cursus M;apprentis;Multi-domaine;Bac étranger;71.0;
2022/2023;Homme;cursus M;continue;Multi-domaine;Equivalence;1.0;
2022/2023;Homme;cursus M;continue;Multi-domaine;Bac techno;7.0;
2022/2023;Homme;cursus D;initiale;Domaine inconnu;Bac techno;1.0;
2022/2023;Homme;cursus D;initiale;Domaine inconnu;Bac général;21.0;
2022/2023;Homme;cursus D;initiale;Sciences Humaines et Sociales;Bac étranger;1.0;
